UART,Time,Rx,Rx Err
481,119.920ms,0x03,
482,119.920ms,,
483,120.006ms,0xAC,
484,120.006ms,,
485,120.093ms,0x03,
486,120.093ms,,
487,120.180ms,0xAC,
488,120.180ms,,
489,120.267ms,0x03,
490,120.267ms,,
491,120.354ms,0xAC,
492,120.354ms,,
493,120.440ms,0x03,
494,120.440ms,,
495,120.527ms,0x79,
496,120.527ms,,
497,120.614ms,0xCA,
498,120.614ms,,
499,128.485ms,0x55,
500,128.485ms,,
501,128.572ms,0x1A,
502,128.572ms,,
503,128.659ms,0x00,
504,128.659ms,,
505,128.746ms,0xD0,
506,128.746ms,,
507,128.833ms,0xA0,
508,128.833ms,,
509,128.919ms,0x00,
510,128.919ms,,
511,129.006ms,0x00,
512,129.006ms,,
513,129.093ms,0x07,
514,129.093ms,,
515,129.180ms,0xAC,
516,129.180ms,,
517,129.266ms,0x03,
518,129.266ms,,
519,129.353ms,0xAC,
520,129.353ms,,
521,129.440ms,0x03,
522,129.440ms,,
523,129.527ms,0xAC,
524,129.527ms,,
525,129.614ms,0x03,
526,129.614ms,,
527,129.700ms,0xAC,
528,129.700ms,,
529,129.787ms,0x03,
530,129.787ms,,
531,129.874ms,0xAC,
532,129.874ms,,
533,129.961ms,0x03,
534,129.961ms,,
535,130.048ms,0xAC,
536,130.048ms,,
537,130.134ms,0x03,
538,130.134ms,,
539,130.221ms,0xAC,
540,130.221ms,,
541,130.308ms,0x03,
542,130.308ms,,
543,130.395ms,0xAC,
544,130.395ms,,
545,130.482ms,0x03,
546,130.482ms,,
547,130.568ms,0x76,
548,130.568ms,,
549,130.655ms,0xDA,
550,130.655ms,,
551,138.434ms,0x55,
552,138.434ms,,
553,138.520ms,0x1A,
554,138.520ms,,
555,138.607ms,0x00,
556,138.607ms,,
557,138.694ms,0xD0,
558,138.694ms,,
559,138.781ms,0xA0,
560,138.781ms,,
561,138.868ms,0x00,
562,138.868ms,,
563,138.954ms,0x00,
564,138.954ms,,
565,139.041ms,0x00,
566,139.041ms,,
567,139.128ms,0xAC,
568,139.128ms,,
569,139.215ms,0x03,
570,139.215ms,,
571,139.302ms,0xAC,
572,139.302ms,,
573,139.388ms,0x03,
574,139.388ms,,
575,139.475ms,0xAC,
576,139.475ms,,
577,139.562ms,0x03,
578,139.562ms,,
579,139.649ms,0xAC,
580,139.649ms,,
581,139.735ms,0x03,
582,139.735ms,,
583,139.822ms,0xAC,
584,139.822ms,,
585,139.909ms,0x03,
586,139.909ms,,
587,139.996ms,0xAC,
588,139.996ms,,
589,140.083ms,0x03,
590,140.083ms,,
591,140.169ms,0xAC,
592,140.169ms,,
593,140.256ms,0x03,
594,140.256ms,,
595,140.343ms,0xAC,
596,140.343ms,,
597,140.430ms,0x03,
598,140.430ms,,
599,140.517ms,0x5B,
600,140.517ms,,
601,140.603ms,0xAA,
602,140.603ms,,
603,141.102ms,0x55,
604,141.102ms,,
605,141.188ms,0x24,
606,141.188ms,,
607,141.274ms,0x00,
608,141.274ms,,
609,141.360ms,0x21,
610,141.360ms,,
611,141.445ms,0xA0,
612,141.445ms,,
613,141.531ms,0x01,
614,141.531ms,,
615,141.617ms,0x00,
616,141.617ms,,
617,141.703ms,0x00,
618,141.703ms,,
619,141.789ms,0x63,
620,141.789ms,,
621,141.875ms,0x15,
622,141.875ms,,
623,141.961ms,0x07,
624,141.961ms,,
625,142.047ms,0x00,
626,142.047ms,,
627,142.132ms,0x5F,
628,142.132ms,,
629,142.218ms,0x00,
630,142.218ms,,
631,142.304ms,0x00,
632,142.304ms,,
633,142.390ms,0x00,
634,142.390ms,,
635,142.476ms,0xB1,
636,142.476ms,,
637,142.562ms,0x03,
638,142.562ms,,
639,142.648ms,0x00,
640,142.648ms,,
641,142.734ms,0x00,
642,142.734ms,,
643,142.820ms,0x00,
644,142.820ms,,
645,142.905ms,0x00,
646,142.905ms,,
647,142.991ms,0x00,
648,142.991ms,,
649,143.077ms,0x80,
650,143.077ms,,
651,143.163ms,0x2A,
652,143.163ms,,
653,143.249ms,0xB0,
654,143.249ms,,
655,143.335ms,0x00,
656,143.335ms,,
657,143.421ms,0x00,
658,143.421ms,,
659,143.506ms,0x00,
660,143.506ms,,
661,143.592ms,0x00,
662,143.592ms,,
663,143.678ms,0x40,
664,143.678ms,,
665,143.764ms,0x3E,
666,143.764ms,,
667,143.850ms,0x00,
668,143.850ms,,
669,143.936ms,0x00,
670,143.936ms,,
671,144.021ms,0xD0,
672,144.021ms,,
673,144.107ms,0x2D,
674,144.107ms,,
675,148.496ms,0x55,
676,148.496ms,,
677,148.583ms,0x1A,
678,148.583ms,,
679,148.670ms,0x00,
680,148.670ms,,
681,148.757ms,0xD0,
682,148.757ms,,
683,148.843ms,0xA0,
684,148.843ms,,
685,148.930ms,0x00,
686,148.930ms,,
687,149.017ms,0x00,
688,149.017ms,,
689,149.104ms,0x01,
690,149.104ms,,
691,149.191ms,0xAC,
692,149.191ms,,
693,149.277ms,0x03,
694,149.277ms,,
695,149.364ms,0xAC,
696,149.364ms,,
697,149.451ms,0x03,
698,149.451ms,,
699,149.538ms,0xAC,
700,149.538ms,,
701,149.625ms,0x03,
702,149.625ms,,
703,149.711ms,0xAC,
704,149.711ms,,
705,149.798ms,0x03,
706,149.798ms,,
707,149.885ms,0xAC,
708,149.885ms,,
709,149.972ms,0x03,
710,149.972ms,,
711,150.059ms,0xAC,
712,150.059ms,,
713,150.145ms,0x03,
714,150.145ms,,
715,150.232ms,0xAC,
716,150.232ms,,
717,150.319ms,0x03,
718,150.319ms,,
719,150.406ms,0xAC,
720,150.406ms,,
721,150.492ms,0x03,
722,150.492ms,,
723,150.579ms,0x54,
724,150.579ms,,
725,150.666ms,0xBA,
726,150.666ms,,
727,158.437ms,0x55,
728,158.437ms,,
729,158.524ms,0x1A,
730,158.524ms,,
731,158.611ms,0x00,
732,158.611ms,,
733,158.698ms,0xD0,
734,158.698ms,,
735,158.784ms,0xA0,
736,158.784ms,,
737,158.871ms,0x00,
738,158.871ms,,
739,158.958ms,0x00,
740,158.958ms,,
741,159.045ms,0x02,
742,159.045ms,,
743,159.132ms,0xAC,
744,159.132ms,,
745,159.218ms,0x03,
746,159.218ms,,
747,159.305ms,0xAC,
748,159.305ms,,
749,159.392ms,0x03,
750,159.392ms,,
751,159.479ms,0xAC,
752,159.479ms,,
753,159.565ms,0x03,
754,159.565ms,,
755,159.652ms,0xAC,
756,159.652ms,,
757,159.739ms,0x03,
758,159.739ms,,
759,159.826ms,0xAC,
760,159.826ms,,
761,159.913ms,0x03,
762,159.913ms,,
763,159.999ms,0xAC,
764,159.999ms,,
765,160.086ms,0x03,
766,160.086ms,,
767,160.173ms,0xAC,
768,160.173ms,,
769,160.260ms,0x03,
770,160.260ms,,
771,160.347ms,0xAC,
772,160.347ms,,
773,160.433ms,0x03,
774,160.433ms,,
775,160.520ms,0x45,
776,160.520ms,,
777,160.607ms,0x8A,
778,160.607ms,,
779,168.485ms,0x55,
780,168.485ms,,
781,168.572ms,0x1A,
782,168.572ms,,
783,168.659ms,0x00,
784,168.659ms,,
785,168.746ms,0xD0,
786,168.746ms,,
787,168.832ms,0xA0,
788,168.832ms,,
789,168.919ms,0x00,
790,168.919ms,,
791,169.006ms,0x00,
792,169.006ms,,
793,169.093ms,0x03,
794,169.093ms,,
795,169.180ms,0xAC,
796,169.180ms,,
797,169.266ms,0x03,
798,169.266ms,,
799,169.353ms,0xAC,
800,169.353ms,,
801,169.440ms,0x03,
802,169.440ms,,
803,169.527ms,0xAC,
804,169.527ms,,
805,169.614ms,0x03,
806,169.614ms,,
807,169.700ms,0xAC,
808,169.700ms,,
809,169.787ms,0x03,
810,169.787ms,,
811,169.874ms,0xAC,
812,169.874ms,,
813,169.961ms,0x03,
814,169.961ms,,
815,170.047ms,0xAC,
816,170.047ms,,
817,170.134ms,0x03,
818,170.134ms,,
819,170.221ms,0xAC,
820,170.221ms,,
821,170.308ms,0x03,
822,170.308ms,,
823,170.395ms,0xAC,
824,170.395ms,,
825,170.481ms,0x03,
826,170.481ms,,
827,170.568ms,0x4A,
828,170.568ms,,
829,170.655ms,0x9A,
830,170.655ms,,
831,178.449ms,0x55,
832,178.449ms,,
833,178.536ms,0x1A,
834,178.536ms,,
